day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean_accuracy
0,22.84276522,-25.56196206,-1.563279561,1.040892193,-21.03058563,-20.73736341,-34.53687891,-32.5106383,28.99916597,16.61083913,10.89552239,4.319745009,10.22860985,-8.720334306,0.857784191,-8.891372017,17.70565803,0.157090233
1,5.890117142,-15.55945517,-12.60602029,-4.989673689,-5.382122817,-8.867227419,-22.40383833,-16.74893617,24.6205171,12.64278966,7.487562189,4.261030029,-2.1264078,-12.43396673,8.794292128,-5.187963924,6.69312787,0.103938264
2,4.116482429,-13.24475641,-7.167803093,-3.073110285,-11.60199162,-1.359955978,-19.45189884,-15.76170213,22.1851543,3.409774113,-0.663349917,-4.428787116,-7.589510842,-4.667665379,11.35962803,0.359166733,8.234103821,0.081573436
3,2.912060716,-10.6375867,-2.494595044,-5.609252375,-9.159883032,-2.185362786,-15.22322518,-17.63404255,18.84904087,5.685819806,0.928689884,-2.549907734,-2.344931921,-5.061893874,11.72037839,4.756963844,4.73188575,0.072050306
4,2.639828411,-10.1947021,-0.532180276,-4.874019,-7.958586896,-0.880433928,-13.90583069,-11.08085106,14.75396163,4.363136649,1.509121061,-1.123972488,-2.874432678,-7.845147047,12.73849607,0.335222284,1.595454899,0.058356104
5,-2.524335918,-11.48993064,-1.563279561,-5.501858736,-3.840986327,-1.509315305,-9.140440758,-9.293617021,12.31025855,3.487073778,3.68159204,-0.780070458,-1.7397882,-8.578412048,11.74442841,4.597334185,-0.194567671,0.054104288
6,-3.910245834,-11.15567811,0.407450524,-6.501445684,-1.596459338,0.180803396,-8.140196796,-10.00851064,12.06005004,3.366829855,2.487562189,-0.914276128,-3.210623634,-8.326105811,12.51402918,3.647537713,1.540975951,0.052922812
7,-2.30984986,-11.41472382,-0.831531681,-7.344072697,-1.960009484,1.249901737,-10.00243962,-5.446808511,12.4854045,1.245383492,2.868988391,-2.206005704,-5.942175155,-10.0843649,14.46208113,4.549445287,2.934080473,0.057257216
8,-0.907441016,-10.31169048,0.598702811,-6.063610078,-1.825653995,4.182061159,-10.36025047,-4.612765957,11.676397,-0.601219617,1.948590381,-2.558295588,-5.597579425,-10.24994087,12.05707872,4.302019315,2.365942875,0.053070141
9,-1.798383105,-11.33951701,0.57375686,-4.254440314,-1.446297321,4.622278123,-9.937383102,-3.914893617,10.14178482,-2.808554496,0.903814262,-3.90035229,-5.580769877,-9.997634629,12.000962,5.858408492,2.30368122,0.053754654
10,-1.451905626,-10.97183922,2.353234658,-4.898802148,-0.940488422,4.952440846,-9.839798325,-4.357446809,9.557964971,-1.941080478,-0.56384743,-3.304814628,-4.193982182,-9.485137586,10.7984608,4.932556469,1.268581213,0.050477872
11,-1.69938954,-10.65429932,2.394811242,-4.19661297,-0.047419584,4.127034038,-9.050988046,-3.829787234,8.824020017,-1.717770334,-1.417910448,-4.160375776,-3.647671878,-10.45493968,10.63011063,5.930241839,1.097361662,0.049341614
12,-2.078864874,-10.82142559,2.053883253,-3.387030153,0.806132933,4.15061709,-9.21362934,-4.357446809,8.073394495,-0.455209139,-1.948590381,-4.789464855,-3.983862834,-10.80974533,9.916626583,5.922260356,1.159623317,0.049369298
13,-2.590331628,-10.6375867,0.615333444,-2.552664188,1.043230854,4.622278123,-8.132064731,-4.017021277,6.630525438,-0.841707464,-1.243781095,-5.183694011,-4.647839973,-10.8964756,9.323392657,5.762630697,2.031286481,0.04751285
14,-2.078864874,-10.39525361,0.997838018,-3.263114416,1.106456967,5.463406965,-7.879970725,-4.391489362,5.462885738,-1.442927081,-1.533996683,-4.412011407,-4.55538746,-10.28147915,8.457591791,5.491260276,2.155809791,0.046688085
15,-1.542649728,-9.392496031,-0.249459504,-2.527881041,1.801944203,5.699237481,-7.294462064,-4.578723404,4.420350292,-2.662544018,-1.890547264,-3.749370911,-4.908387964,-10.32878656,8.11287478,6.097852981,2.163592497,0.045541859
16,-1.171423857,-9.593047547,0.39081989,-2.313093763,2.157591085,6.170898514,-7.017971863,-3.591489362,3.853211009,-3.590139998,-2.661691542,-4.713974165,-5.547150782,-9.93455807,7.287157287,5.427408412,1.937894,0.045505601
17,-2.045867019,-9.308932899,0.18293697,-2.007434944,2.339366158,5.502712051,-7.229405546,-2.689361702,3.311092577,-3.658850812,-2.155887231,-4.210702902,-5.547150782,-9.414176457,7.070707071,5.722723282,1.182971437,0.043282518
18,-1.377660452,-8.623715217,0.349243306,-2.370921107,1.849363787,5.754264602,-7.278197934,-1.991489362,2.927439533,-3.212230525,-2.338308458,-4.663647039,-6.051437216,-9.390522747,6.517556518,5.179982441,0.505875944,0.041401092
