day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean_accuracy
0,22.842765220260684,-25.561962062338097,-1.5632795609512722,1.0408921933085502,-21.03058563186596,-20.73736341482588,-34.53687891355615,-36.2781798519258,32.51042535446205,19.694236880529072,14.021558872305139,6.995470558631102,12.867708858631701,-4.115745486083735,0.8577841911175244,-8.891372016920744,17.70565802786209,14.988849952214082,0.16457817613766096
1,5.890117142385745,-15.55945516837971,-12.606020289373024,-4.989673688558447,-5.382122816723307,-8.867227419228048,-22.403838334553143,-21.354296647533484,30.850708924103422,17.735978699647855,12.081260364842453,8.572387183358497,1.554883173642629,-6.441693605613814,8.79429212762546,-5.187963923697023,6.693127869873142,3.185727938834024,0.11008376406554067
2,4.116482428642138,-13.244756413470377,-7.167803093297855,-3.0731102850061958,-11.601991622540108,-1.3599559783035926,-19.451898837114744,-20.447550120622243,28.432026688907424,8.228119900369322,3.90547263681592,-0.15936923335010905,-3.40393343419062,3.0670976898210203,11.359628026294693,0.35916673317902464,8.23410382130905,-1.9831156419241798,0.08310865699175478
3,2.9120607160534564,-10.637586696749395,-2.494595044071179,-5.609252375051631,-9.159883031692088,-2.185362785944501,-15.223225176872408,-22.202811746110974,24.662218515429522,10.486987889719144,5.364842454394693,1.719510149303808,1.8070263909900826,2.247102420562958,11.720378387045054,4.756963843882193,4.731885749863802,-4.890092386110227,0.07933988097769283
4,2.639828411153275,-10.194702097434611,-0.5321802760685181,-4.874019000413052,-7.9585868963882085,-0.8804339281503027,-13.905830690412296,-16.04691789368605,21.192660550458715,10.066134157863093,7.014925373134329,4.026170105686965,1.933097999663809,-0.19711424741780337,12.738496071829406,0.335222284300423,1.5954548992139466,-6.0449187639375594,0.06787594091511798
5,-2.524335918165319,-11.489930642600484,-1.5632795609512722,-5.5018587360594795,-3.840986327353197,-1.5093153054005188,-9.140440757908433,-14.333250145578571,18.84070058381985,9.37043717255003,9.485903814262024,4.5378292232846835,3.2358379559589845,-0.8751872585350469,11.744428411095077,4.5973341846915154,-0.19456767063584715,-6.212169480726346,0.06610988508309816
6,-3.910245834020789,-11.155678114815744,0.4074505238649592,-6.501445683601817,-1.5964593377064729,0.18080339595943715,-8.140196795966496,-15.056983612012312,18.42368640533778,9.095593919093018,8.02653399668325,4.2610300285187055,1.6809547823163555,-0.6859575810139557,12.514029180695848,3.647537712506984,1.5409759514359094,-5.471487734947435,0.062387250328054034
7,-2.3098498597591157,-11.414723823848918,-0.8315316813570598,-7.344072697232548,-1.9600094839168576,1.2499017372848047,-10.00243961941937,-10.722901588886117,19.64136780650542,7.352057029975093,8.980099502487562,3.3635296091259854,-0.7732391998655237,-2.0815264527320037,14.462081128747794,4.549445286934312,2.9340804731885752,-6.331634278432621,0.06461360625538873
8,-0.9074410163339384,-10.311690482159271,0.598702810577083,-6.063610078479967,-1.8256539950999764,4.182061158713937,-10.360250467593723,-9.940936694118625,18.89908256880734,5.436743107446534,8.101160862354892,3.1454453950679415,-0.22692889561270801,-2.0815264527320037,12.05707872374539,4.302019315188762,2.365942874931901,-4.898056705957312,0.05872462866940072
9,-1.7983831050981687,-11.33951700509735,0.5737568601363712,-4.254440313919868,-1.4462973207934877,4.622278122789089,-9.93738310156949,-9.258797105066135,17.36447039199333,3.2208193764493687,7.122719734660034,1.9040429458144608,0.07564296520423601,-1.6636442482062603,12.000962000962001,5.858408492297869,2.3036812203284303,-2.867155144950621,0.05422911080852032
10,-1.4519056261343013,-10.971839224534136,2.353234658240479,-4.89880214787278,-0.9404884217181697,4.9524408458454525,-9.839798324794666,-9.674735878878629,16.613844870725604,4.122648801855192,5.688225538971808,2.4576413353464184,1.4960497562615565,-1.111724355436411,10.798460798460798,4.932556468991939,1.2685812125457234,-3.838802166294998,0.054117655796060586
